iter	Passed	Remaining
0	1	148
1	2	138
2	4	132
3	5	123
4	6	122
5	7	120
6	8	119
7	10	115
8	11	111
9	12	108
10	13	105
11	13	102
12	14	99
13	15	97
14	16	95
15	17	93
16	18	92
17	19	90
18	20	89
19	22	89
20	23	87
21	24	86
22	25	84
23	26	83
24	27	81
25	28	80
26	29	78
27	30	77
28	31	76
29	32	74
30	32	73
31	33	72
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	57
46	49	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	60	42
59	62	41
60	63	40
61	65	39
62	66	38
63	67	37
64	68	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	76	28
73	77	27
74	78	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
